Time,AccelX,AccelY,AccelZ
1944,1.00,0.04,-0.39
1956,1.00,0.06,-0.37
1969,1.00,0.04,-0.37
1980,1.02,0.06,-0.35
1992,1.02,0.06,-0.39
2003,1.02,0.06,-0.37
2014,1.00,0.06,-0.37
2025,1.00,0.07,-0.35
2037,1.00,0.06,-0.35
2048,1.00,0.06,-0.35
2059,1.02,0.07,-0.37
2070,1.00,0.06,-0.35
2081,1.02,0.04,-0.37
2093,1.00,0.04,-0.37
2107,0.98,0.06,-0.37
2118,1.00,0.04,-0.37
2132,1.00,0.07,-0.37
2143,1.02,0.06,-0.35
2159,1.02,0.06,-0.37
2173,1.00,0.06,-0.35
2184,1.02,0.06,-0.37
2198,1.00,0.06,-0.35
2209,1.00,0.07,-0.37
2224,1.00,0.06,-0.37
2236,1.00,0.06,-0.37
2247,1.00,0.06,-0.35
2258,1.00,0.04,-0.37
2270,1.02,0.07,-0.37
2284,1.00,0.06,-0.35
2295,1.00,0.06,-0.37
2309,1.02,0.06,-0.35
2321,1.00,0.06,-0.37
2335,0.98,0.06,-0.34
2349,1.00,0.07,-0.35
2360,1.02,0.06,-0.37
2372,1.00,0.06,-0.37
2386,1.00,0.06,-0.37
2397,1.00,0.06,-0.37
2412,1.00,0.04,-0.39
2423,1.00,0.04,-0.37
2438,0.98,0.06,-0.34
2449,1.00,0.06,-0.37
2463,1.02,0.06,-0.37
2475,1.00,0.06,-0.37
2489,1.00,0.06,-0.35
2501,0.98,0.06,-0.35
2516,1.00,0.06,-0.37
2530,1.02,0.06,-0.35
2543,1.00,0.06,-0.34
2555,1.02,0.06,-0.37
2567,1.00,0.06,-0.37
2581,1.02,0.07,-0.35
2592,1.00,0.04,-0.37
2607,1.00,0.06,-0.37
2618,1.00,0.07,-0.35
2630,1.00,0.06,-0.37
2641,1.02,0.06,-0.35
2653,1.00,0.06,-0.37
2668,1.02,0.06,-0.37
2682,1.02,0.06,-0.37
2694,1.00,0.06,-0.35
2708,1.00,0.03,-0.35
2720,1.00,0.06,-0.37
2731,1.00,0.06,-0.37
2745,1.02,0.06,-0.35
2759,1.02,0.07,-0.35
2770,1.02,0.06,-0.35
2785,1.00,0.06,-0.35
2796,1.00,0.06,-0.37
2812,1.00,0.04,-0.37
2826,1.00,0.06,-0.39
2837,1.02,0.06,-0.35
2852,1.00,0.07,-0.39
2863,1.00,0.04,-0.35
2877,0.98,0.04,-0.37
2889,1.02,0.07,-0.35
2903,1.02,0.06,-0.35
2915,1.02,0.06,-0.37
2929,1.02,0.07,-0.35
2942,1.02,0.06,-0.37
2954,1.00,0.06,-0.39
2965,0.98,0.04,-0.35
2980,1.00,0.06,-0.35
2991,0.98,0.04,-0.37
3005,1.03,0.07,-0.37
3017,1.00,0.04,-0.37
3032,0.98,0.04,-0.39
3046,1.00,0.06,-0.35
3058,1.00,0.06,-0.39
3072,1.02,0.06,-0.37
3084,0.98,0.06,-0.35
3098,1.00,0.06,-0.35
3110,1.00,0.04,-0.39
3122,1.00,0.04,-0.37
3135,1.00,0.06,-0.39
3147,1.02,0.04,-0.37
3158,1.02,0.04,-0.37
3170,1.00,0.07,-0.35
3181,1.00,0.06,-0.35
3193,1.00,0.04,-0.37
3205,1.02,0.06,-0.37
3224,1.00,0.04,-0.39
3235,1.00,0.04,-0.35
3250,1.00,0.04,-0.37
3261,0.98,0.04,-0.39
3275,1.00,0.06,-0.39
3287,1.00,0.06,-0.37
3299,1.00,0.06,-0.37
3311,1.02,0.04,-0.37
3324,1.00,0.04,-0.37
3336,1.00,0.06,-0.37
3347,1.00,0.04,-0.39
3359,0.98,0.06,-0.37
3370,1.00,0.06,-0.35
3382,1.00,0.06,-0.37
3394,1.00,0.06,-0.37
3408,1.00,0.04,-0.37
3420,1.00,0.04,-0.39
3431,1.00,0.04,-0.37
3443,1.00,0.06,-0.39
3454,1.00,0.06,-0.37
3466,1.00,0.06,-0.39
3477,1.00,0.06,-0.37
3492,1.00,0.06,-0.37
3505,1.00,0.04,-0.39
3516,0.98,0.07,-0.37
3528,1.00,0.06,-0.37
3542,1.00,0.06,-0.39
3554,1.00,0.06,-0.37
3568,1.00,0.07,-0.37
3579,1.00,0.04,-0.39
3594,1.00,0.06,-0.37
3605,1.00,0.06,-0.37
3620,1.00,0.06,-0.39
3631,0.98,0.04,-0.37
3645,1.00,0.07,-0.39
3657,1.02,0.04,-0.37
3671,1.00,0.07,-0.35
3683,1.00,0.06,-0.37
3698,1.00,0.06,-0.37
3714,1.00,0.04,-0.37
3725,1.00,0.06,-0.39
3737,0.98,0.07,-0.37
3748,1.00,0.06,-0.37
3763,1.00,0.06,-0.39
3775,1.00,0.06,-0.37
3787,0.96,0.04,-0.39
3798,1.00,0.06,-0.39
3810,1.00,0.06,-0.37
3821,1.00,0.06,-0.39
3833,1.00,0.06,-0.37
3844,0.98,0.06,-0.35
3859,1.00,0.07,-0.37
3870,1.00,0.04,-0.39
3884,1.00,0.06,-0.35
3898,1.00,0.06,-0.35
3909,1.00,0.06,-0.39
3921,1.00,0.06,-0.35
3935,1.00,0.04,-0.39
3947,1.00,0.06,-0.37
3958,1.02,0.06,-0.37
3970,1.02,0.06,-0.39
3982,1.00,0.06,-0.37
3993,1.00,0.06,-0.39
4005,1.00,0.06,-0.35
4016,1.00,0.06,-0.35
4030,1.02,0.04,-0.37
4042,1.00,0.06,-0.37
4056,1.00,0.06,-0.37
4067,1.00,0.06,-0.35
4083,1.00,0.06,-0.37
4095,0.98,0.04,-0.37
4107,1.00,0.06,-0.37
4118,1.00,0.06,-0.35
4130,1.00,0.06,-0.37
4141,1.00,0.06,-0.37
4152,1.00,0.06,-0.37
4167,1.02,0.07,-0.37
4178,1.00,0.04,-0.37
4192,1.00,0.06,-0.37
4204,1.00,0.06,-0.37
4218,1.00,0.07,-0.37
4229,1.02,0.06,-0.37
4243,1.00,0.06,-0.35
4255,0.98,0.04,-0.37
4271,1.00,0.06,-0.37
4283,1.00,0.06,-0.39
4294,1.02,0.06,-0.39
4306,1.00,0.06,-0.35
4317,1.00,0.06,-0.35
4328,1.02,0.07,-0.35
4340,1.02,0.06,-0.39
4351,1.00,0.06,-0.37
4363,1.00,0.06,-0.35
4374,1.02,0.06,-0.39
4385,1.02,0.06,-0.37
4399,1.00,0.06,-0.37
4411,1.00,0.06,-0.37
4425,1.00,0.06,-0.35
4436,1.02,0.06,-0.35
4450,1.00,0.06,-0.35
4465,1.00,0.06,-0.37
4476,1.00,0.06,-0.39
4487,0.98,0.06,-0.37
4501,1.00,0.06,-0.35
4512,1.02,0.06,-0.35
4526,1.02,0.07,-0.39
4537,1.00,0.07,-0.35
4551,1.00,0.06,-0.37
4564,1.00,0.04,-0.37
4575,1.00,0.04,-0.37
4586,1.00,0.04,-0.37
4598,1.00,0.06,-0.37
4612,1.00,0.06,-0.37
4623,1.00,0.06,-0.37
4638,1.00,0.06,-0.35
4651,1.02,0.06,-0.39
4662,1.00,0.07,-0.37
4673,1.00,0.04,-0.37
4685,1.00,0.06,-0.37
4696,1.00,0.06,-0.35
4708,1.00,0.06,-0.37
4719,1.00,0.06,-0.39
4733,1.02,0.06,-0.35
4744,1.00,0.06,-0.35
4759,1.00,0.06,-0.37
4770,1.00,0.06,-0.37
4784,1.00,0.06,-0.39
4795,1.00,0.06,-0.39
4810,1.00,0.04,-0.35
4822,0.98,0.06,-0.37
4835,1.00,0.06,-0.35
4847,1.00,0.07,-0.37
4859,1.00,0.04,-0.37
4870,1.00,0.06,-0.37
4882,1.00,0.06,-0.37
4893,1.00,0.06,-0.35
4904,1.00,0.06,-0.37
4916,1.00,0.06,-0.37
4930,1.00,0.06,-0.37
4941,1.00,0.06,-0.37
4955,1.00,0.06,-0.37
4967,1.02,0.06,-0.37
4981,1.00,0.06,-0.35
4992,1.00,0.06,-0.35
5006,1.00,0.06,-0.35
5018,1.02,0.06,-0.37
5034,1.02,0.06,-0.37
5045,1.00,0.06,-0.37
5057,1.00,0.06,-0.37
5068,1.00,0.07,-0.35
5079,1.02,0.06,-0.37
5091,1.00,0.06,-0.35
5102,1.00,0.06,-0.35
5113,1.00,0.06,-0.35
5129,1.00,0.06,-0.35
5143,1.00,0.06,-0.37
5154,1.00,0.06,-0.35
5168,1.00,0.06,-0.37
5181,1.02,0.06,-0.37
5192,1.02,0.06,-0.35
5204,1.00,0.07,-0.37
5217,1.02,0.04,-0.35
5228,1.02,0.07,-0.37
5240,0.98,0.06,-0.35
5254,1.00,0.06,-0.37
5266,1.02,0.06,-0.37
5280,1.00,0.06,-0.35
5291,1.00,0.06,-0.37
5306,1.02,0.06,-0.37
5317,1.02,0.04,-0.35
5331,0.98,0.06,-0.35
5343,1.00,0.06,-0.37
5357,1.00,0.06,-0.37
5369,1.00,0.06,-0.37
5383,1.00,0.06,-0.35
5395,1.02,0.06,-0.34
5411,1.00,0.06,-0.37
5422,1.00,0.06,-0.35
5435,1.00,0.04,-0.37
5449,1.00,0.06,-0.37
5460,1.00,0.07,-0.35
5475,1.00,0.07,-0.34
5486,1.00,0.06,-0.37
5501,1.00,0.06,-0.37
5512,1.00,0.06,-0.34
5526,1.00,0.04,-0.35
5538,1.00,0.06,-0.35
5552,1.00,0.06,-0.35
5563,1.00,0.06,-0.35
5578,1.00,0.07,-0.37
5589,1.00,0.04,-0.37
5605,1.02,0.06,-0.37
5617,1.00,0.06,-0.35
5628,1.00,0.04,-0.35
5640,1.00,0.06,-0.37
5654,1.00,0.06,-0.35
5665,1.00,0.06,-0.37
5680,1.00,0.06,-0.37
5691,1.00,0.06,-0.34
5706,1.00,0.06,-0.35
