Time,GyroX,GyroY,GyroZ
1950,-44,129,-111
1962,-64,77,-97
1975,-28,41,-142
1986,5,73,-146
1998,47,140,-52
2009,7,97,-49
2020,36,81,-124
2031,2,106,-108
2043,-17,95,-93
2054,57,122,-99
2065,64,159,-93
2076,108,66,-23
2087,118,26,-36
2101,159,241,-29
2113,-21,229,-76
2127,-70,151,-101
2138,-17,119,-121
2154,-26,148,-97
2168,-37,87,-120
2179,-83,59,-109
2193,-40,54,-126
2204,27,27,-133
2219,-24,125,-60
2230,48,79,-69
2242,-45,62,-93
2253,3,101,-120
2265,-53,112,-107
2279,-29,58,-77
2290,57,95,-70
2304,-1,224,-61
2316,61,203,-22
2330,-16,164,-85
2341,118,239,-54
2355,-101,300,-43
2366,-63,149,-72
2381,27,40,-68
2392,-2,180,-97
2406,-22,308,-23
2418,-25,219,-24
2432,-4,77,-111
2444,73,205,-96
2458,-20,316,-67
2469,-6,290,-23
2484,63,103,-86
2495,55,18,-125
2511,-59,227,-116
2525,46,164,-73
2536,45,138,-47
2550,80,66,-107
2561,4,155,-105
2576,2,156,-66
2587,33,199,-55
2601,-15,184,-53
2613,20,114,-101
2624,-41,87,-112
2636,-51,121,-70
2647,-65,126,-72
2662,-65,94,-102
2677,-115,54,-61
2689,-130,1,-124
2703,-119,-3,-164
2714,-124,-45,-102
2726,-138,-42,-92
2739,-130,-56,-126
2754,-14,9,-145
2765,50,-13,-78
2779,88,175,-7
2791,165,270,-37
2806,78,307,-36
2821,66,198,-105
2832,-31,174,-84
2846,-69,110,-142
2858,-186,12,-142
2872,-174,-95,-191
2884,-291,-19,-142
2898,72,-100,1
2909,56,46,46
2924,120,137,12
2937,-36,205,-26
2948,-74,204,-52
2960,-49,207,-92
2974,-182,230,-102
2986,-61,184,-116
3000,-92,176,-30
3012,9,377,94
3026,-62,533,149
3041,-135,434,-20
3053,-124,385,-19
3067,-110,339,41
3078,-5,268,-29
3093,2,333,13
3105,45,275,0
3117,-18,282,-92
3130,0,195,-140
3141,130,213,-63
3153,54,257,-88
3164,125,354,-18
3176,255,405,-7
3187,126,460,9
3199,186,462,27
3214,170,415,-29
3230,153,422,-15
3244,189,365,-61
3256,53,347,-82
3270,122,280,-76
3282,36,276,-40
3293,104,240,-54
3305,95,268,-47
3317,-11,215,-73
3330,49,172,-81
3342,45,262,-66
3354,115,285,-41
3365,147,305,-38
3377,163,330,-34
3389,149,355,-45
3401,161,319,-12
3414,87,328,-27
3426,103,298,-50
3438,71,266,-41
3449,25,235,-78
3460,68,189,-20
3472,-8,158,-54
3486,29,90,-75
3498,-24,35,-81
3511,-44,51,-127
3523,16,84,-124
3537,-38,52,-136
3548,-11,-11,-176
3563,-30,31,-140
3574,70,71,-120
3588,-79,71,-76
3600,-2,13,-148
3614,-61,55,-148
3626,-82,41,-161
3640,71,-458,-558
3651,-75,45,-158
3666,-93,54,-105
3677,62,39,-94
3693,78,177,-10
3709,94,199,-90
3720,36,275,-57
3732,-1,185,-107
3743,65,156,-86
3757,42,196,-54
3769,51,143,-27
3781,60,79,-54
3793,5,189,-104
3804,-52,233,-130
3816,-37,194,-17
3827,-18,83,-99
3839,-48,-22,-141
3853,-43,52,-94
3865,-109,101,-108
3879,-116,-8,-121
3892,-38,-147,-129
3904,-90,-5,-105
3915,-135,71,-84
3930,-136,-248,-112
3941,-200,-199,-187
3953,-288,-266,-212
3964,-284,-305,-200
3977,-166,-242,-96
3988,-134,-163,-56
4000,-46,-127,-54
4011,-115,-66,-119
4025,-49,77,-111
4036,-4,191,-77
4051,50,264,-44
4062,-13,213,-64
4076,-55,147,-82
4089,-34,110,-98
4101,-138,78,-88
4113,-96,114,-65
4124,-104,80,-70
4136,-109,58,-117
4147,-60,46,-101
4161,25,85,-66
4173,-13,173,-64
4187,10,222,-52
4198,-60,132,-86
4212,-3,65,-128
4224,53,134,-64
4238,10,143,-38
4249,69,43,-96
4264,-37,115,-117
4278,-13,157,-102
4289,-105,136,-67
